Company;Company URL;HQ Location;Country;Founded;Estimated Headcount;Known Customers;Strengths;Weaknesses;Discipline;Lifecycle Phase;Workflow Segment;Subsegment;Sector Focus;Category/Function Tags;Operating Model Tags;Differentiation Tags;Manufacturing Type;Industries Served;Investment List;Subcategories;Company Group;Latest Funding Round;Startup Lifecycle Phase;Lastest Funding Event Year;Latest Event Funding Amount;Total Current Known Funding Level;Current Estimated Annual Revenue;Estimated Market Value;Financials Notes;Investors and VCs;Market Opportunity;Market Opportunity Justification;Team & Execution;Team & Execution Justification;Technology Differentiation;Technology Differentiation Justification;Funding Efficiency;Funding Efficiency Justification;Growth Metrics;Growth Metrics Justification;Industry Impact;Industry Impact Justification;Competitive Moat;Competitive Moat Justification
Freeform;https://freeform.co;Los Angeles, USA;🇺🇸 United States;2022;47;Ursa Major, aerospace and Formula 1 clients;AI-native autonomous metal 3D printing with 1000x speed improvement and backing from NVIDIA and Founders Fund;Pre-revenue manufacturing startup with high capital requirements and unproven at scale;Manufacturing;Production;Additive Manufacturing;AI-Driven Metal 3D Printing;Cross-Industry;Metal AM, Laser Powder Bed Fusion, AI Process Control, Autonomous Manufacturing;Manufacturing-as-a-Service;AI-Controlled Multi-Laser Metal Printing with Real-Time Optimization;Additive Manufacturing;Aerospace, Automotive, Energy, Defense;03-Adaptive Manufacturing (AM, CAM);AI Metal 3D Printing, Autonomous Factory;Freeform;Series B;Growth;2026;67000000;126000000;N A;378000000;Series B $67M in Feb 2026 from Founders Fund, NVIDIA NVentures, Two Sigma Ventures, AE Ventures and others;Founders Fund, Two Sigma Ventures, NVIDIA NVentures, AE Ventures (Boeing), Threshold Ventures, Linse Capital, Apandion;4.5;Massive addressable market in metal manufacturing with AI differentiation;4.5;Ex-SpaceX founding team with deep aerospace manufacturing expertise;4.5;Proprietary multi-laser AI control system with 1000x speed claims;3.5;$126M raised pre-revenue but strong investor signals;3.5;Growing backlog and planned 100-person hiring;4.5;Could transform metal parts manufacturing across industries;4.0;Proprietary hardware-software stack and autonomous factory model
Gecko Robotics;https://www.geckorobotics.com;Pittsburgh, USA;🇺🇸 United States;2013;250;U.S. Navy, NAES, Abu Dhabi National Oil Company (ADNOC);Unicorn-status robotics company with $100M NAES deal and vertically integrated inspection-as-a-service model;High dependency on infrastructure inspection niche and government contracts;Robotics;Operations;Inspection & Maintenance;Autonomous Infrastructure Inspection;Cross-Industry;Climbing Robots, Inspection Robotics, Digital Twin, Predictive Maintenance, AI Analytics;Robotics-as-a-Service, Software+Hardware;Autonomous Climbing and Swimming Robots with AI-Powered Analytics Platform;N A;Power Generation, Oil & Gas, Pulp & Paper, Defense, Energy;06-Augmented Operations (MOM, MRO, AR/VR, SLM);Infrastructure Inspection, Digital Twin, Predictive Maintenance;Gecko Robotics;Series D;Late Stage;2025;125000000;354000000;N A;1250000000;Series D $125M in Jun 2025 at $1.25B valuation led by Cox Enterprises. $100M NAES partnership deal;Cox Enterprises, USIT, XN, Founders Fund, Y Combinator;4.5;Critical infrastructure maintenance is a massive and growing market;4.5;12-year track record with $100M enterprise deals and unicorn valuation;4.0;Proprietary climbing/swimming robots with Cantilever AI platform;3.5;$354M raised with $1.25B valuation and $100M+ contracts;4.5;CNBC Disruptor 50 with rapid revenue growth and major deals;4.5;Directly enables safer and more efficient infrastructure maintenance;4.5;Vertically integrated hardware+software+services creates deep moat
General Astronautics;https://generalastro.com/;San Francisco, USA;🇺🇸 United States;2025;2;N A;Novel approach to autonomous laboratory robotics for microgravity research and manufacturing;Extremely early stage with only 2 employees and unproven technology in a niche market;Robotics;Design;Laboratory Automation;Space Robotics and Microgravity Manufacturing;Aerospace;Space Robotics, Laboratory Automation, Microgravity Manufacturing, Autonomous Systems;Hardware+Software;Autonomous Laboratory Robots for Space Environments;N A;Aerospace, Pharmaceutical, Biotechnology;09-SW+HW=Innovation (Robotics, Drones);Space Robotics, Microgravity Lab Automation;General Astronautics;Pre-Seed;Pre-Seed;2025;500000;500000;N A;1500000;YC W26 batch plus NVIDIA Inception backing. Very early stage;Y Combinator, NVIDIA Inception;3.5;Growing space economy and in-space manufacturing opportunity;2.5;Only 2 founders with limited track record;3.0;Novel microgravity robotics concept but unproven;2.0;Minimal funding for capital-intensive space hardware;1.5;Pre-product with no revenue or customers yet;3.0;Could enable scalable space-based research and manufacturing;2.0;Very early with no proven IP or market position
General Trajectory;https://www.generaltrajectory.com;San Francisco, USA;🇺🇸 United States;2024;5;N A;Reasoning models for robotics enabling chain-of-thought planning for complex logistics tasks;Very early stage with minimal funding and unproven at commercial scale;Robotics;Operations;Warehouse Automation;Vision-Language Models for Industrial Robots;Logistics;Foundation Models, Vision-Language Models, Robotic Reasoning, Palletization, Picking and Packing;AI Models;Chain-of-Thought Reasoning Models Fine-Tuned for Robotic Control;N A;Logistics, Warehousing, E-Commerce;09-SW+HW=Innovation (Robotics, Drones);Robotic Reasoning Models, Logistics Automation;General Trajectory;Seed;Seed;2025;500000;500000;N A;1500000;YC W25 batch with $500K seed. Commercial LOIs signed;Y Combinator, Boost VC;4.0;Massive logistics automation market needing smarter robots;3.0;Small academic ML team with YC backing;3.5;Novel reasoning-model approach to robotic control is differentiated;2.5;Only $500K for ambitious robotic AI platform;2.5;Commercial LOIs but no confirmed revenue;3.5;Could make industrial robots significantly more capable;2.5;Early-stage with no proven moat yet
Generalist AI;https://www.generalist-ai.com;San Mateo, USA;🇺🇸 United States;2024;8;N A;World-class founding team from Google DeepMind and Boston Dynamics with NVIDIA backing;Undisclosed funding amount and pre-product stage with no public demos;Robotics;Design;Foundation Models;General-Purpose Robotics AI;Cross-Industry;Robotics Foundation Models, Embodied AI, Hardware+Software;AI Models, Hardware;Google DeepMind Alumni Building General-Purpose Robotic Intelligence;N A;Manufacturing, Logistics, Healthcare;09-SW+HW=Innovation (Robotics, Drones);Robotics Foundation Models, Embodied AI;Generalist AI;Seed;Seed;2025;N A;N A;N A;0;Seed round in Mar 2025 from Boldstart Ventures and NVIDIA NVentures. Amount undisclosed;Boldstart Ventures, NVentures (NVIDIA);4.0;General-purpose robotics AI is a massive long-term opportunity;4.5;Ex-Google DeepMind founding team (Andy Zeng, Pete Florence) is elite;4.0;DeepMind pedigree suggests strong technical foundation;N A;Funding amount undisclosed cannot assess;1.5;Pre-product stage;4.0;General-purpose robotics could transform multiple industries;3.0;Strong team but no product moat established yet
Human Archive;https://www.humanarchive.ai/;San Francisco, USA;🇺🇸 United States;2026;4;N A;Unique approach to collecting large-scale multimodal human sensorimotor data for robotics training;Extremely early stage with tiny team and data-only business model dependent on robotics lab customers;Robotics;Design;Data Infrastructure;Multimodal Robotics Training Data;Cross-Industry;Data Collection, Multimodal Data, Embodied AI, Robotics Training Data;Data-as-a-Service;Large-Scale Annotated Human Sensorimotor Datasets for Robotics;N A;Robotics, AI Research;09-SW+HW=Innovation (Robotics, Drones);Robotics Training Data, Multimodal Datasets;Human Archive;Pre-Seed;Pre-Seed;2026;500000;500000;N A;1500000;YC W26 batch. Founders dropped out of Stanford and Berkeley to collect data in Asia;Y Combinator;3.5;Growing demand for high-quality robotics training data;2.5;Young founders who left Stanford/Berkeley with limited industry experience;3.0;Novel large-scale human activity data collection approach;2.0;Minimal funding for data collection infrastructure;1.5;Pre-revenue with no confirmed customers;3.0;High-quality training data is critical bottleneck for embodied AI;2.0;Data moat potential but easily replicable approach
Industrial Next;https://industrialnext.ai;San Francisco, USA;🇺🇸 United States;2021;13;Global automotive Tier-1 suppliers, electronics manufacturers;AI-powered automation deployable in days not months with sight and touch capabilities for reshoring;Small team of 13 with limited funding relative to manufacturing automation ambitions;Manufacturing;Production;Industrial Automation;AI-Powered Manufacturing Automation;Cross-Industry;AI Automation, Computer Vision, Tactile Sensing, Reshoring, Electronics Manufacturing;Hardware+Software;Rapid-Deploy AI Automation with Human-Level Sight and Touch;Discrete Manufacturing;Automotive, Electronics, HVAC;04-Factory Futures (MES, IIOT);AI Manufacturing Automation, Reshoring Technology;Industrial Next;Series A;Early Growth;2025;12500000;12800000;N A;38400000;Series A in Apr 2025. Total $12.8M raised. YC and Khosla Ventures backed;Y Combinator, Khosla Ventures, Lenovo Capital, Plug and Play, G Vision Capital, AlphaX Partners;4.0;Reshoring trend and labor shortage drive demand for flexible automation;3.5;Strong backers (Khosla, YC) and real customer deployments;3.5;AI sight and touch for rapid manufacturing automation is novel;3.0;$12.8M is modest for hardware+software manufacturing startup;3.0;Automotive and electronics customer deployments underway;3.5;Enables cost-effective reshoring of manufacturing to US;3.0;Early moat from rapid deployment capability but replicable
Intenseye;https://www.intenseye.com/;New York, USA;🇺🇸 United States;2018;140;Coats, Kings Hawaiian, BJs, 100000+ workers protected at Fortune 500 companies;Largest-ever Series B in workplace safety AI with 24/7 computer vision monitoring across 25+ countries;Dependent on camera infrastructure and may face privacy and regulatory pushback;Manufacturing;Operations;Workplace Safety;AI-Powered Workplace Safety Monitoring;Cross-Industry;Computer Vision, Workplace Safety, EHS, Predictive Analytics, Real-Time Monitoring;SaaS, Platform;24/7 AI Vision Platform Detecting Unsafe Acts and Conditions Before Incidents;N A;Manufacturing, Logistics, Food & Beverage, Retail;04-Factory Futures (MES, IIOT);Workplace Safety AI, Computer Vision EHS;Intenseye;Series B;Growth;2024;64000000;94400000;N A;660800000;Record-breaking $64M Series B in Feb 2024 led by Lightspeed. Total $94.4M raised;Lightspeed Venture Partners, Insight Partners, Point Nine Capital, Air Street Capital, Entrepreneurs Roundtable Accelerator;4.0;Workplace safety compliance is mandatory and growing market;4.0;140 employees with Fortune 500 customers across 25+ countries;3.5;Real-time computer vision for workplace safety monitoring;3.5;$94.4M raised with strong institutional investors;4.0;100000+ workers protected with rapid international expansion;4.0;Directly prevents workplace injuries and saves lives;3.5;Enterprise integrations and safety data create switching costs
Inversion Semiconductor;https://www.inversionsemi.com;San Francisco, USA;🇺🇸 United States;2024;5;N A;Revolutionary tabletop particle accelerator approach could deliver 15x faster chip fabrication;Extremely ambitious deep-tech with massive technical risk and long development timeline;Semiconductor;Design;Lithography;Next-Generation Semiconductor Lithography;Semiconductor;EUV Lithography, Particle Accelerators, Petawatt Lasers, Chip Fabrication;Hardware;Tabletop Particle Accelerator for 15x Faster Semiconductor Lithography;N A;Semiconductor;03-Adaptive Manufacturing (AM, CAM);Advanced Lithography, Semiconductor Manufacturing;Inversion Semiconductor;Pre-Seed;Pre-Seed;2025;500000;500000;N A;1500000;YC W25 batch. Deep-tech semiconductor lithography with tabletop accelerator concept;Y Combinator;5.0;Semiconductor lithography is a $20B+ market dominated by ASML;3.0;Founders with masters in mechanical engineering and applied physics;4.5;Breakthrough concept if viable - 1000x smaller accelerator with comparable output;1.5;$500K is trivially small for semiconductor hardware R&D;1.0;Pre-product deep tech research stage;5.0;Could fundamentally disrupt semiconductor manufacturing;2.0;Concept stage with enormous technical hurdles ahead
IoTFlows;https://www.iotflows.com/;Atlanta, USA;🇺🇸 United States;2020;8;Delta Air Lines, U.S. Navy, Siemens, Allegion, Parker Hannifin, Grupo Alza;Plug-and-play AI-powered IIoT platform with impressive enterprise customer list for a small startup;Very small team with minimal funding limits growth and enterprise sales capacity;Manufacturing;Operations;Machine Monitoring;AI-Powered Industrial IoT Platform;Cross-Industry;IIoT, Machine Monitoring, OEE, Predictive Maintenance, Real-Time Analytics;SaaS, Hardware+Software;Plug-and-Play AI Sensors with Real-Time Dashboard for Manufacturing;Discrete Manufacturing;Aerospace, Defense, Manufacturing, Fabrication;04-Factory Futures (MES, IIOT);IIoT Platform, Machine Monitoring, OEE Analytics;IoTFlows;Seed;Seed;2022;500000;500000;330000;2310000;YC-backed seed with $500K. Revenue ~$330K reported. Notable enterprise customers for size;Y Combinator;3.5;Large IIoT and machine monitoring market with strong demand;2.5;Very small team relative to enterprise customer ambitions;3.0;Plug-and-play simplicity differentiates from complex IIoT platforms;2.5;$500K seed is very lean for hardware+software IIoT;2.5;Impressive customer logos but $330K revenue is modest;3.0;Enables manufacturers to adopt IIoT without complexity;2.0;Low barriers to entry and well-funded competitors in IIoT
KCF Technologies;https://kcftech.com/;State College, USA;🇺🇸 United States;2000;200;N A;25+ year track record in predictive maintenance with comprehensive sensor-to-analytics platform and $56M revenue;Modest funding and slow growth for a 25-year-old company in a competitive market;Manufacturing;Operations;Predictive Maintenance;Wireless Vibration Monitoring and Machine Health;Cross-Industry;Predictive Maintenance, Vibration Monitoring, Wireless Sensors, Machine Health, IoT;SaaS, Hardware+Software;Integrated Wireless Sensor Suite with AI-Powered Machine Health Analytics;N A;Oil & Gas, Automotive, Forest Products, Manufacturing;04-Factory Futures (MES, IIOT);Predictive Maintenance, Vibration Monitoring, Machine Health;KCF Technologies;Private Equity;Mature;2020;3500000;3500000;56000000;392000000;Graham Partners PE investment. Revenue ~$56M. Mature profitable business;Graham Partners, Ben Franklin Technology Partners;3.0;Established predictive maintenance market but highly competitive;3.5;25-year track record with $56M revenue demonstrates execution;3.0;Comprehensive sensor-to-analytics platform but not uniquely differentiated;4.0;$56M revenue on only $3.5M funding is highly efficient;3.5;Steady revenue growth in established business;3.0;Proven value in preventing unplanned downtime;3.0;Long customer relationships but commoditizing sensor market
Korso;https://www.korsoai.com/;San Francisco, USA;🇺🇸 United States;2024;5;N A;AI agents that automate complex quote-to-order workflows across email and WhatsApp for manufacturers;Very early stage with unproven product and no disclosed customers or revenue;Manufacturing;Operations;Quoting & Order Management;AI-Powered Manufacturing Operations;Cross-Industry;AI Agents, RFQ Automation, Quote-to-Order, Natural Language Processing;SaaS;AI Agents Automating Quoting and Purchase Orders via Email and WhatsApp;Discrete Manufacturing;Manufacturing, Industrial Distribution;05-Cognitive Thread (PLM, MBSE, DT);AI Quoting Automation, Manufacturing Operations;Korso;Pre-Seed;Pre-Seed;2025;500000;500000;N A;1500000;YC-backed. Automates RFQ processing and quoting for manufacturers;Y Combinator;3.5;Large addressable market in manufacturing operations automation;2.5;Small early-stage team with limited track record;3.0;AI agent approach to manufacturing quoting is timely;2.0;Minimal funding for enterprise manufacturing SaaS;1.5;Pre-revenue with no disclosed customers;3.0;Could significantly reduce quoting cycle times for manufacturers;2.0;Low barriers to entry for email-based AI tools
Kyten Technologies;https://kytentech.com;Seattle, USA;🇺🇸 United States;2026;4;N A;SpaceX and Shield AI alumni with 5000+ battery packs put into space at Starlink;Extremely early stage company founded in 2026 with no product or revenue yet;Manufacturing;Production;Battery Manufacturing;Aerospace-Grade Battery Pack Manufacturing;Aerospace;Battery Packs, Aerospace Manufacturing, Energy Storage, Custom Manufacturing;Contract Manufacturing;Custom Aerospace-Grade Battery Pack Factory Built by SpaceX Alumni;N A;Aerospace, Defense, Space;03-Adaptive Manufacturing (AM, CAM);Battery Manufacturing, Aerospace Energy Storage;Kyten Technologies;Pre-Seed;Pre-Seed;2026;500000;500000;N A;1500000;YC W26 batch. Founders from SpaceX Starlink and Shield AI;Y Combinator;3.5;Growing demand for custom aerospace-grade battery packs;3.0;SpaceX and Shield AI alumni with hands-on battery manufacturing experience;2.5;Manufacturing expertise but no proprietary technology disclosed;2.0;$500K is very lean for battery manufacturing facility;1.0;Pre-revenue and pre-product;3.0;Addresses bottleneck in custom aerospace battery supply;2.0;No clear IP moat beyond manufacturing know-how
Lightberry;https://lightberry.com;San Francisco, United States;🇺🇸 United States;2025;5;Unitree;YC-backed, repeat founder (SigmaOS YC S21), CERN-trained roboticist co-founder, natural language robot programming;Very early stage, minimal revenue, narrow product focus on social robotics;Robotics;Concept;Human-Robot Interaction;Social Robotics;Robotics, Consumer Electronics;Embodied AI, NLP for Robots, Social Robotics;SaaS, Platform;NLP-first robot programming, no-code voice interaction;N A;Robotics, Consumer Electronics;09-SW+HW=Innovation (Robotics, Drones);Social Robotics, Embodied AI;Lightberry;Pre-Seed;Pre-Seed;2025;500000;500000;0;1500000;YC F25 batch, $500K raised;Y Combinator, guil Mobility Ventures, Kima Ventures, Nivesha Ventures, Spot VC, Transpose Platform Management;3.0;Growing market for social/service robots but niche;3.5;Repeat YC founder (Ali Attar - SigmaOS), CERN physicist co-founder;3.5;Novel NLP-based robot interaction layer, partnership with Unitree;2.0;Very early with minimal funding;1.5;Pre-revenue, no known commercial deployments;2.5;Could unlock consumer/service robot adoption;2.5;Highly competitive embodied AI space
LineWise;https://www.linewise.io/;San Francisco, United States;🇺🇸 United States;2024;10;N A;YC X25 batch, AI-driven factory troubleshooting, 5 paid pilots with large manufacturers, multi-agent AI system;Very early stage, small team, pre-revenue;Manufacturing;Production;Predictive Maintenance;AI Troubleshooting;Manufacturing, Packaging, Food & Beverage, Consumer Electronics;AI Factory Assistant, Predictive Maintenance, Computer Vision;SaaS, Platform;Multi-agent AI for root-cause analysis using existing factory data;Discrete, Process;Packaging, Food & Beverage, Consumer Electronics;04-Factory Futures (MES, IIOT);AI Factory Assistant, Predictive Maintenance;LineWise;Pre-Seed;Pre-Seed;2025;1100000;1600000;0;4800000;$1.1M pre-seed from YC + A2D Ventures, $1.6M total;Y Combinator, A2D Ventures, Exitfund, REMUS Capital, SBXi, Team Ignite Ventures;4.0;Massive market for factory downtime reduction ($50B+ annually);3.0;Thai-founded team with manufacturing domain knowledge;3.5;Multi-agent AI combining sensor data, logs, manuals for root-cause;3.0;Lean team, 5 paid pilots on small funding;2.0;Pre-revenue, early pilot stage;3.5;Direct impact on factory productivity and yield;2.0;Early stage with many competitors in factory AI
Loombotic;https://loombotic.com/;Toronto, Canada;🇨🇦 Canada;2024;3;N A;YC-backed, addressing $90B+ wire harness market, robotics + software-guided assembly, sub-7-day lead times;Extremely early, 3 employees, narrow product focus;Manufacturing;Production;Wire Harness Manufacturing;Robotic Assembly;Automotive, Aerospace, Electronics;Robotic Assembly, Wire Harness Automation;Hardware + Software;Automated wire harness manufacturing with continuous QA;Discrete;Automotive, Aerospace, Electronics;03-Adaptive Manufacturing (AM, CAM);Robotic Wire Harness, Automated Assembly;Loombotic;Pre-Seed;Pre-Seed;2024;500000;500000;0;1500000;$500K from YC and Theory Forge Ventures;Y Combinator, Theory Forge Ventures;4.0;Wire harness manufacturing is massive ($90B+) and largely manual;2.0;Very small team (3 people), unproven at scale;3.5;Robotic automation of complex manual wire harness assembly;2.5;Very early with minimal capital;1.0;Pre-revenue, pre-product;3.5;Could transform labor-intensive wire harness manufacturing;2.5;Niche focus but easily challenged by larger robotics players
Maihem;https://maihem.ai/;San Francisco, United States;🇺🇸 United States;2023;7;N A;YC W24, $1.1M revenue in 2024, PhD founders (Oxford NLP + Imperial AI Safety), strong investor roster;Not manufacturing-focused (AI testing platform), small team;Software;Development;AI Quality Assurance;LLM Testing;Software, AI;AI Testing, LLM QA, Conversational AI Testing;SaaS, Platform;AI agents that stress-test other AI applications at scale;N A;Software, AI, Technology;05-Cognitive Thread (PLM, MBSE, DT);AI Testing, LLM Quality Assurance;Maihem;Seed;Seed;2024;6000000;6000000;1100000;7700000;$6M seed, $1.1M ARR in 2024;Y Combinator, Moonfire, Firstminute, SciFi, Urban Innovation Fund, Accel, Andreessen Horowitz, 2100 Ventures;3.5;Growing need for AI testing as LLM adoption accelerates;4.0;PhD founders from Oxford and Imperial College, proven revenue;3.5;Novel AI-agent-based stress testing for LLM applications;4.0;$1.1M revenue with 7-person team is very capital efficient;3.5;$1.1M ARR growing rapidly;3.0;Enables safer AI deployment across industries;3.0;Differentiated approach but low switching costs
Makini;https://www.makini.io/;San Francisco, United States;🇺🇸 United States;2020;69;N A;Universal API for 100+ industrial enterprise systems (EAM, CMMS, ERP, WMS), strong integration breadth;Limited funding ($850K), competitive API integration space;Software;Operations;System Integration;Industrial API;Manufacturing, Energy, Logistics;Industrial API, EAM Integration, CMMS Integration, ERP Integration;SaaS, Platform, API;Single API for 100+ industrial enterprise software integrations;N A;Manufacturing, Energy, Logistics, Maintenance;06-Augmented Operations (MOM, MRO, AR/VR, SLM);Industrial API, Enterprise Integration;Makini;Seed;Seed;2020;850000;850000;0;2550000;$850K total raised;Gaingels, I2BF Global Ventures, K5 Global Technology, BBQ Capital, Plug and Play;3.5;Industrial software integration is a massive pain point;3.0;69 employees suggests organic growth, experienced CEO;3.0;Unified API across 100+ industrial systems is valuable;2.0;Low funding relative to team size suggests revenue-funded;2.5;Growing but limited public metrics;3.0;Reduces integration friction for industrial tech companies;2.5;API integration moat is moderate, large players could replicate
Matta Labs;https://www.matta.ai/;London, United Kingdom;🇬🇧 United Kingdom;2022;30;N A;Cambridge/IfM spin-out, $14M seed, 300+ factories in pipeline, unsupervised computer vision QC, rapid deployment;Pre-revenue scale, still proving commercial model;Manufacturing;Production;Quality Control;Computer Vision QC;Electronics, Automotive, Defence, Apparel;AI Quality Control, Computer Vision, Anomaly Detection;SaaS, Hardware + Software;Unsupervised CV that learns production rules and deploys in hours;Discrete, Process;Electronics, Automotive, Defence, Apparel;04-Factory Futures (MES, IIOT);AI Quality Control, Computer Vision Inspection;Matta Labs;Seed;Seed;2025;14000000;14000000;0;42000000;$14M seed led by Lakestar, 300+ factories in pipeline;Lakestar, Giant Ventures, RedSeed VC, InMotion Ventures, 1st Kind, Unruly Capital, Boost VC, Innovate UK;4.5;Quality control automation is a $10B+ market;4.0;Cambridge IfM spin-out, strong academic pedigree, PhD founders;4.5;Unsupervised CV that generalizes across industries without training data;3.5;$14M seed with strong pipeline of 300+ factories;3.0;New installation every 2 weeks, growing rapidly;4.0;Direct quality and yield improvement in manufacturing;3.5;Self-supervised learning creates data moat per deployment
Matterport;https://matterport.com/;Sunnyvale, United States;🇺🇸 United States;2011;440;N A;1M+ subscribers, industry leader in 3D digital twins, $170M revenue, acquired by CoStar for $1.6B;Acquired by CoStar (no longer independent), heavy real estate focus;Digital Twin;Design;3D Capture;Spatial Computing;Real Estate, AEC, Insurance, Facilities;3D Scanning, Digital Twin, Spatial Data;SaaS, Hardware + Software;Pro3 camera + cloud platform for immersive 3D digital twins;N A;Real Estate, AEC, Insurance, Facilities Management, Hospitality;05-Cognitive Thread (PLM, MBSE, DT);3D Digital Twin, Spatial Capture;Matterport;Acquired;Acquired;2025;1600000000;163000000;170000000;1600000000;Acquired by CoStar Group for $1.6B in Feb 2025, $170M FY2024 revenue;Qualcomm Ventures, Lux Capital, Navitas Capital, DCM Ventures;4.5;Massive market for spatial data and digital twins;4.5;440 employees, 1M+ subscribers, proven execution;4.0;Leading 3D capture technology with Pro3 camera;3.0;$163M raised, $170M revenue - efficient path to scale;4.5;$170M revenue, 8% YoY growth, 1M subscribers;4.5;Industry standard for 3D spatial capture;4.5;Market leader with massive subscriber base and data moat
Mbodi AI;https://mbodi.ai/;New York, United States;🇺🇸 United States;2024;6;ABB;YC X25, ABB partnership (world's leading robot manufacturer), Google DNS alumni founders, embodied AI platform;Very early stage, small team, pre-revenue;Robotics;Production;Robot Programming;Embodied AI;Manufacturing, Industrial Automation;Embodied AI, Natural Language Robot Programming, Industrial Robotics;SaaS, Platform;Natural language + demo-based robot programming with 99% uptime;Discrete;Manufacturing, Industrial Automation;09-SW+HW=Innovation (Robotics, Drones);Embodied AI, Robot Programming;Mbodi AI;Seed;Seed;2025;4400000;4400000;0;13200000;$4.4M seed led by Maverick Ventures, ABB partnership;Y Combinator, Pioneer Fund, Maverick Ventures, Peak XV Partners, Network VC, Tekedia Capital;4.0;Large market for simplifying industrial robot programming;3.5;Google alumni founders, ABB validation partnership;4.0;Embodied AI platform combining gen AI + symbolic reasoning;3.0;Early stage but strong partnership leverage;2.0;Pre-revenue, early deployments with ABB;3.5;Could democratize industrial robot programming;3.0;ABB partnership provides early moat, but competitive space
NarrativeWave;https://www.narrativewave.com/;Scottsdale, United States;🇺🇸 United States;2014;18;N A;IIoT analytics for energy and manufacturing, 10+ year track record, self-service analytic builder;Limited funding visibility, small team for 10-year-old company, low growth;Analytics;Operations;IIoT Analytics;Predictive Analytics;Energy, Manufacturing, Wind, Solar, Oil & Gas, Water;IIoT Analytics, Predictive Maintenance, Energy Asset Management;SaaS, Platform;Data-to-decision analytics for industrial IoT with AI/ML;Process;Energy, Wind, Solar, Battery Storage, Oil & Gas, Water, Manufacturing;04-Factory Futures (MES, IIOT);IIoT Analytics, Energy Asset Management;NarrativeWave;Series A;Growth;2020;4280000;12200000;2900000;20300000;$12.2M total raised per PitchBook, $2.9M revenue;Octane, Alameda Holdings, Frost Data Capital;3.0;IIoT analytics is established but crowded;2.5;Small team (18) for 10-year-old company suggests slow growth;2.5;Solid analytics platform but not highly differentiated;2.0;$12.2M raised over 10 years with modest revenue;2.0;$2.9M revenue after 10 years is modest;2.5;Useful for energy asset management;2.0;Limited moat in crowded IIoT analytics space
NODE Robotics;https://www.node-robotics.com/;Stuttgart, Germany;🇩🇪 Germany;2020;25;N A;1500+ robots deployed globally, plug-and-play AMR software, Intel Ignite backed, 65% TCO reduction;Limited funding ($1.14M), competing against well-funded AMR players;Robotics;Operations;Autonomous Mobile Robots;AMR Software;Manufacturing, Logistics, Intralogistics;AMR Software, Autonomous Navigation, Intralogistics;SaaS, Platform;Plug-and-play software turning AGVs into autonomous mobile robots;N A;Manufacturing, Logistics, Automotive, Warehousing;09-SW+HW=Innovation (Robotics, Drones);AMR Software, Autonomous Navigation;NODE Robotics;Seed;Growth;2022;1140000;1140000;6200000;43400000;$1.14M VC + EUR 1.2M government grant, $6.2M revenue;Momenta Ventures, Robotics Ventures, Wolfman.One, German Accelerator;4.0;AMR market growing rapidly ($20B+ by 2028);3.5;25 employees, 1500+ robots deployed, strong technical team;3.5;Software-only approach for AMR conversion is differentiated;4.5;$6.2M revenue on $1.14M funding is exceptional;4.0;1500+ robots deployed, $6.2M revenue;3.5;Reducing intralogistics costs by 65%;3.5;Software moat with 1500+ robot deployments
Nox Metals;https://noxmetals.co/;Detroit, United States;🇺🇸 United States;2025;10;N A;YC S25, $4.6M pre-seed, automated metals factory in Detroit, fast quoting and delivery, reshoring play;Very early, narrow product (aluminum cutting), unproven at scale;Manufacturing;Production;Metal Processing;Digital Supply Chain;Industrial Manufacturing;Digital Manufacturing, Metal Processing, Supply Chain;Marketplace, Hardware + Software;Software-paced automated metals factory with instant quoting;Discrete;Industrial Manufacturing, Aerospace, Defense, Automotive;03-Adaptive Manufacturing (AM, CAM);Digital Metal Processing, Supply Chain;Nox Metals;Pre-Seed;Pre-Seed;2025;4600000;4600000;0;13800000;$4.6M pre-seed from YC + Mana Ventures + Precursor + others;Y Combinator, Mana Ventures, Precursor Ventures, Behind Genius, Anorak Ventures;4.0;Reshoring metals supply chain is a major US policy priority;3.0;Young founder, early team, manufacturing operations experience needed;3.0;Digital-first metals supply chain with automated processing;3.0;$4.6M pre-seed is strong for hardware startup;1.5;Very early, limited production data;3.5;Supports US manufacturing reshoring;2.5;Low barriers to entry in metal cutting, differentiation is digital layer
