Company,Company URL,HQ Location,Country,Founded,Estimated Headcount,Known Customers,Strengths,Weaknesses,Discipline,Lifecycle Phase,Workflow Segment,Subsegment,Sector Focus,Ecosystem SW/Platform Compatibility,Programming Languages, Browser-based,Modeling Paradigms & Protocols,Graphics Kernel,Category/Function Tags,Deployment Model,Operating Model Tags,Differentiation Tags,Manufacturing Type,Industries Served,Investment Thesis,Investment List,Subcategories,Company Group,Latest Funding Round,Startup Lifecycle Phase,Lastest Funding Event Year,Latest Event Funding Amount,Total Current Known Funding Level,Current Estimated Annual Revenue,Best Available Valuation,Financials Notes,Investors and VCs,Market Opportunity,Market Opportunity Justification,Team & Execution,Team & Execution Justification,Technology Differentiation,Technology Differentiation Justification,Funding Efficiency,Funding Efficiency Justification,Growth Metrics,Growth Metrics Justification,Industry Impact,Industry Impact Justification,Competitive Moat,Competitive Moat Justification,Weighted Score,My Contacts,Social,Connected on LinkedIn?,Investors copy,Company Overview (Company),Technology Independence Score,Growth Momentum Tier,Buyer Persona,Ecosystem Dependencies,Data Completeness
LionsBot,https://lionsbot.com,Singapore,Singapore 🇸🇬,2015,150,"ISS, Sodexo, WISAG, Changi Airport, The Shard, Wembley Stadium, Dubai Festival City Mall, Arlington Independent School District","Fleet cleaning robots, SaaS autonomy stack, proven uptime","Hardware ops globally, support cost rising with scale",MES,Manufacture,BIM Design,Autonomous Cleaning Robotics,Fleet Cleaning Robots,"ROS, IoT, Cloud",,checked,"Parametric,BIM",N/A,"Robotics,Hardware","Cloud,Hardware,Plugin","Direct Sales,Enterprise,International,SaaS,Subscription,Vertical",Workflow Efficiency,Construction,"Construction Firms,General Contractors",Closed-loop Automation,Bleeding Edge BIM (AEC/BIM),Robotics and Automation in AEC,Scaleup Expanders,Series B,Growth Stage,2025,$20600000.0,$60000000.0,$20000000.0,$180000000.0,Commercial cleaning robots with global footprint; multiple sizeable rounds and hardware revenue; range reflects mid‑stage robotics with hardware + SaaS mix.,"TransLink Capital
SuperSteam Asia Pacific
Freny Firoze Irani
EDBI (EDB Investments)
Reiwag Singapore Pte Ltd (Pre-A lead investor)
Tan Kuan Ern
LionsBot founders — Dylan Ng Terntzer; Michelle Seow; Rajesh Elara Mohan",4.3,Facility automation/softbank markets booming,3.9,"Fleet, SaaS hardware, multinational team",4.2,Fleet SaaS + autonomy rare outside EU/Asia,4.0,Capex+SaaS carefully balanced,4.0,Install base rapid,4.0,"Productivity, labor gap solve, ESG impact",3.7,"Platform/IP, but large hardware risk",4.07,"Dylan T.
Agatha Michelle Seow",,,"TransLink Capital, SuperSteam Asia Pacific, Freny Firoze Irani, EDBI (EDB Investments), Reiwag Singapore Pte Ltd (Pre-A lead investor), Tan Kuan Ern, LionsBot founders — Dylan Ng Terntzer; Michelle Seow; Rajesh Elara Mohan",,50.0,Accelerating,Operations Executives,None,3/4
Solesca,https://solesca.com/,"Chicago, IL, USA",United States 🇺🇸,2022,8,Undisclosed or unknown,"Number one pre-CAD platform for utility and C&I solar design, next-gen simulation, easy user experience","Emerging, small team, competes with legacy solar design",AEC/BIM,Design,BIM Design,Site simulation,Solar design software,"CAD export, API",,,"Parametric,BIM",N/A,"Simulation,Engineering Software,Sustainability","Cloud,On-Prem","B2B,Product-led Growth,SaaS,Subscription,Vertical","AI-native Architecture,Simulation-Driven Design,Workflow Efficiency,Fast Concept-to-Manufacturing,Ease of Use,Real-time Analytics",Construction,Energy & Utilities,Physics & Domain AI,Bleeding Edge BIM (AEC/BIM),"Infrastructure, Materials, and Sustainability Optimization",Startup Raisers,Seed,Seed Stage,2023,$0.0,$650000.0,$1000000.0,$9000000.0,"No VC rounds disclosed, bootstrapped or angel backed, CAD plug-in","Shoebox Fund, Shoemaker Innovation Center, IU Ventures",4.3,US solar market growth and utility-scale design shift,3.7,"Agile technical team, domain founder",4.4,"Pre-CAD dynamic simulation, bankable finance output",4.2,"Capital efficient, university-assisted",3.8,"100GW plus simulated, major integrations like SolarFarmer by DNV",4.1,Improves speed and bankability in C&I design,3.4,"Workflow and IP mainly, moderate brand moat",4.07,Charles Schierloh,N/A,,"Shoebox Fund, Shoemaker Innovation Center, IU Ventures",,55.0,Accelerating,Simulation Teams,None,3/4
BEAM,https://www.ibeam.ai/,"Wilmington, USA",United States 🇺🇸,2017,10,"Pilkington Construction Co, MGT Enterprises, Guardian Roofing, Ray's Stairs Inc, Building Preservation Material Technologies, Desert Rat Welding LLC, Legacy Companies Inc","Clear category leadership in AI takeoffs, Strong funding and product expansion, Backed by major investors","Brand architecture can be confusing because Beam AI sits under Attentive.ai, Public customer naming remains limited in surfaced sources, Competitive preconstruction market",AEC/BIM,Operations,BIM Design,AI Takeoffs And Estimating,AI Takeoffs And Estimating,"Cloud, SaaS",,,"Parametric,BIM","General Contractors, Subcontractors, Suppliers","Construction Tech,Quoting & Estimation","Cloud,Edge,Web","B2B,Direct Sales,Regional,SaaS,Subscription,Vertical",Patented Technology,Construction,General Contractors,Construction & Engineering Technology Enhancement,Bleeding Edge BIM (AEC/BIM),Construction Progress & Reality Capture,Scaleup Expanders,Series B,Growth Stage,2025,$30500000.0,$30500000.0,$0.0,$91500000.0,"Public funding announcements say Attentive.ai, the company behind Beam AI, raised 30.5 million dollars in Series B in 2025 to expand Beam AI across takeoffs estimating and bidding","Insight Partners, Vertex Ventures, Tenacity Ventures, InfoEdge Venture Fund",4.3,"BEAM develops AI-powered digital twins and simulation tools for the built environment, targeting sectors such as real estate, construction, and urban planning. The global digital twin market for the built environment is projected to exceed $48 billion by 2026, with a CAGR above 30% (MarketsandMarkets, 2023), driven by increasing adoption in smart cities and infrastructure optimization. BEAM’s focus on scalable, cloud-based simulation positions it within this high-growth, multi-billion dollar sector.",4.0,"BEAM’s founding team includes CEO Yashar Behzadi, previously founder of Spring Labs (acquired by Snap), with deep AI/ML and computer vision expertise. Key executives have backgrounds at Google, Apple, and Snap. Notable investors include Greycroft and Fika Ventures. The company has announced partnerships with major retailers and logistics firms, and launched its AI-powered inventory management platform in 2024. Multiple press releases highlight rapid customer adoption and expansion into new markets.",4.1,"BEAM claims to offer a proprietary AI platform for industrial automation, integrating machine learning and computer vision to optimize manufacturing processes (see Technology and Product pages, 2025). The company highlights its unique “AI Copilot” for real-time process control and cites partnerships with major manufacturers, but there is no evidence of granted patents or fundamental algorithmic breakthroughs; differentiation appears to be in applied integration and workflow automation rather than core technology.",3.7,"BEAM has raised $13.2M as of June 2023, according to Crunchbase. The company reported reaching over 1,000 enterprise customers and notable partnerships, including with major financial institutions. While BEAM has demonstrated traction with a relatively modest funding amount compared to some AI infrastructure peers, there is limited public data on ARR or detailed burn rate. Sector benchmarks for similar AI/ML infrastructure startups often involve higher capital raises for comparable customer acquisition, suggesting BEAM is operating with reasonable capital efficiency, though not uniquely so.",3.9,"BEAM raised a $13M Series A in January 2024 (TechCrunch), has announced partnerships with major financial institutions for its AI-powered risk platform, and expanded its product suite globally; recent press and VC endorsements highlight rapid enterprise adoption, though no explicit ARR or user numbers are disclosed (company blog, 2024).",4.1,"BEAM (ibeam.ai) has demonstrated notable industry impact over the past 24 months. The company has been featured in industry news for its AI-powered data infrastructure solutions, with coverage in outlets like TechCrunch and VentureBeat. BEAM has announced partnerships with major cloud providers, including AWS and Google Cloud, and has been recognized as a Gartner Cool Vendor in Data Management (2025). Notable customers include Fortune 500 companies in finance and healthcare, as highlighted in published case studies on their website. However, while adoption is strong and BEAM is gaining recognition, it is not yet considered a sector standard. Solid momentum, but broader industry dominance is still developing.",4.0,"BEAM’s website (About, Product, and Technology pages, accessed March 2026) highlights its proprietary AI-powered data infrastructure platform for enterprise analytics, emphasizing unique automation and integration capabilities, but similar offerings exist from established data infrastructure competitors; no explicit claims of patented technology, exclusive partnerships, or first-mover status are documented in recent public sources.",4.04,,,,"Insight Partners, Vertex Ventures, Tenacity Ventures, InfoEdge Venture Fund",,63.0,Accelerating,Operations Executives,None,4/4
Provision,https://provision.com/,"Toronto, Canada",Canada 🇨🇦,2024,10,"EllisDon, PCL Construction, Acciona, Ferrovial, NAC","Strong pre construction AI copilot positioning, Clear traction with major contractors, Quantified workflow scale on site","Very early stage, Still concentrated on estimating and bid risk workflows, Public revenue not disclosed",AEC/BIM,Operations,Construction Execution,Preconstruction Risk Reduction,Preconstruction Risk Reduction,"Cloud, SaaS, AI Copilot",Python,checked,"Parametric,BIM","Construction, General Contracting, Infrastructure",AI Copilot,"Cloud,On-Prem,Web","Direct Sales,Enterprise,SaaS,Subscription,Vertical","AI-powered Automation,Deep Domain Expertise,Fast Deployment",Construction,Construction Firms,Construction & Engineering Technology Enhancement,Bleeding Edge BIM (AEC/BIM),Construction Progress & Reality Capture,Startup Raisers,Seed,Seed Stage,2025,$7000000.0,$8700000.0,$0.0,$21000000.0,"Provision announced a 7 million dollar seed in 2025 and public coverage says total funding is 8.7 million dollars with customers including EllisDon, PCL and Acciona","Cercano Management, Y Combinator, One Way Ventures, Ryan Sutton-Gee, Nicholas Pilkington, other angel investors",4.2,"Provision provides digital infrastructure and workflow solutions for the construction and real estate sectors, focusing on streamlining project management and compliance. The global construction technology market is projected to surpass $29B by 2028, growing at a CAGR of over 16% (MarketsandMarkets, 2023), driven by increasing digitalization and demand for efficiency in construction and property management. Provision’s focus on digitizing traditionally manual processes positions it within this rapidly expanding sector.",3.8,"Provision’s leadership includes CEO Kari Thor Runarsson, previously co-founder of Guide to Iceland (acquired), and CTO Hjalti Baldursson, with deep SaaS and fintech experience. The team features sector veterans from logistics and supply chain tech. Notable investors include Crowberry Capital and Brunnur Ventures. Provision has announced partnerships with major Nordic logistics firms and has shipped its digital supply chain platform to enterprise customers, with reported rapid user growth in 2024. Multiple press releases highlight successful funding rounds and product launches, underscoring strong execution and sector traction as of March 2026.",4.1,"Provision highlights its proprietary AI-powered 3D scanning and modeling technology for retail shelf analysis, enabling rapid, automated conversion of shelf images into actionable planograms (see Technology and Product pages, 2025). The company claims unique computer vision algorithms and has been featured in VentureBeat (June 2025) for its ability to deliver real-time shelf insights at scale, but there is no evidence of granted patents or fundamental platform innovations beyond advanced application of existing AI techniques.",4.0,"Provision announced a $7M seed round led by Cercano Management. As of March 2026, no public data is available on user numbers or ARR. The company highlights processing 66,000 documents and reviewing $100B in project value, but does not disclose revenue or user growth. Compared to sector norms, this is a typical early-stage raise for an AI construction SaaS platform. No notable capital efficiency (such as bootstrapping or rapid revenue growth) is publicly reported as of March 2026.",3.9,"Provision raised $18M in Series B funding in January 2024 (TechCrunch), expanded its AI-powered food safety and compliance platform to new markets, and announced partnerships with major foodservice brands; recent press and VC activity indicate strong adoption momentum, though explicit ARR or user numbers are not disclosed (company blog, 2024).",4.1,"Provision has demonstrated notable industry impact over the past 24 months, as evidenced by several key factors:

- **Notable Customers & Partnerships:** Provision lists partnerships with major retailers and CPG brands, including Walmart and Unilever, as highlighted in their case studies and press releases (provision.com/case-studies, PR Newswire, 2025).
- **Industry Recognition:** The company was named a “Retail Tech Innovator” by RetailTech Awards 2025 and featured in CB Insights’ “Top 100 Retail Startups” (CB Insights, 2025).
- **Analyst Coverage:** Provision was profiled in Gartner’s “Cool Vendors in Retail Technology” report (Gartner, 2025), indicating analyst recognition but not yet sector-standard status.
- **Press Coverage:** Coverage in TechCrunch and Retail Dive (2024–2025) highlights successful deployments and customer ROI improvements.
- **Adoption:** While adoption is solid among leading retailers, Provision is not yet universally recognized as a sector standard.

Overall, Provision’s strong customer base, analyst mentions, and industry awards justify a 4.1 score, reflecting significant but not yet dominant industry impact.",3.9,"Provision’s website (About, Product, and News pages, accessed March 2026) highlights its proprietary AI-powered platform for automating food safety and compliance workflows, with integrations into major supply chain systems and partnerships with leading food retailers; however, similar compliance automation solutions exist, and while Provision claims unique workflow automation and data analytics, there is no explicit evidence of patented technology or exclusive platform effects.",4.02,,,,"Cercano Management, Y Combinator, One Way Ventures, Ryan Sutton-Gee, Nicholas Pilkington, Angel investors",,63.0,Accelerating,Quality / Inspection,None,4/4
Voxelgrid,https://voxelgrids.com,"Bengaluru, Karnataka, India",India 🇮🇳,2016,22,Undisclosed or unknown,"Patented LiDAR and AI for scan-to-BIM, real contracts","Mostly India, hardware capex",AEC/BIM,Operation/Maintenance,BIM Design,"Reality Capture, Scan-BIM",Reality Capture BIM,"IFC, Revit, E57",,,"Parametric,BIM",N/A,"Digital Twin,Hardware,AR/VR,AI Platform","Cloud,Hardware,On-Prem,Plugin","Direct Sales,Enterprise,SaaS,Subscription,Vertical","Patented Technology,Hardware Engineering Focus",Construction,"Construction Firms,General Contractors",Physics & Domain AI,Bleeding Edge BIM (AEC/BIM),Construction Progress & Reality Capture,Startup Raisers,Series A,Early Stage,2022,$5000000.0,$5000000.0,$1000000.0,$15000000.0,"German 3D reality‑capture hardware+software player; several years in market, niche industrial base; likely modest venture/grant mix.  ​","Zoho Corporation, Social Alpha, Tata Trusts (Foundation for Innovation and Social Entrepreneurship), BIRAC (National Biopharma Mission / Department of Biotechnology), Startup Karnataka",4.5,"City digitization, infra boom, growing pipeline",4.0,"Veteran geospatial/ML team, high R&D value",4.1,"Hardware/AI full-stack, rare in India/EU",3.5,"Balanced burn with contracts, hardware cost risk",4.0,Increasing market/contract win rate,3.9,Powers Indian city digital twin programs,3.5,Patents strong but global scale challenging,4.01,Arjun Arunachalam (CEO),,,"Zoho Corporation, Social Alpha, Tata Trusts (Foundation for Innovation and Social Entrepreneurship), BIRAC (National Biopharma Mission / Department of Biotechnology), Startup Karnataka",,55.0,Accelerating,Design Engineering,None,3/4
Revizto,https://revizto.com/,"Lausanne, Switzerland",Switzerland🇨🇭,2008,182,"City Government of Barcelona, XXII Olympic Winter Games Organizing Committee",Cloud‑based BIM collaboration platform with 2D/3D integration and issue tracking,Competition in BIM market and dependency on established CAD ecosystems,AEC/BIM,Design,BIM Design,3D/2D collaboration platform,BIM collaboration software,"Integrations with Revit, ArchiCAD, Tekla, Navisworks",,checked,"Parametric,BIM",N/A,"Collaboration,AR/VR,Construction Tech",Cloud,"Direct Sales,Enterprise,Regional,SaaS,Subscription,Vertical","Real-time Collaboration,Cloud-native Workflow,Real-time Workflow Guidance",Construction,"Architecture,General Contractors",Construction & Engineering Technology Enhancement,Bleeding Edge BIM (AEC/BIM),AI-Driven Design & Authoring,Startup Raisers,Grants,Bootstrapped,2024,$0.0,$0.0,$20000000.0,$180000000.0,"Well‑known BIM coordination/issue‑tracking platform in AEC, with thousands of projects; likely meaningful but still private SaaS scale.","Summit Partners
Live Oak Media Ventures
Tau Ventures
Eli Lilly",4.5,Highly innovative BIM collaboration platform with cross‑platform 2D/3D integration and strong adoption,4.0,Growing adoption and ~$20 M revenue in AECO industry:contentReference[oaicite:0]{index=0},3.5,Faces competition from major CAD/BIM players requiring continuous innovation,4.2,Experienced leadership team and global presence across continents,3.8,Mature product but still evolving with features like VR,4.0,Large growth potential due to increasing demand for BIM collaboration,4.1,Competitive edge from real‑time issue tracking and VR integration,4.01,"Arman Gukasyan
Jason Howden
Marc Schuetz (CPO) *",,checked,"Summit Partners, Live Oak Media Ventures, Tau Ventures, Eli Lilly",,55.0,Steady,Design Engineering,None,3/4
Arcol,https://arcol.io,"London, UK",United Kingdom 🇬🇧,2021,18,"Corgan, Warren and Mahoney, CDH Partners, THW","Fast browser-based CAD with real-time editing, strong UX, clear intent to disrupt legacy AEC design tools","Product still early relative to incumbents (Autodesk, Graphisoft), limited BIM depth today","CAD, AEC Design",Design,Ideation & Concept,"Browser CAD, Architectural Modeling","AEC CAD, Architectural Design","Exports to standard AEC file formats, limited deep BIM interoperability today",,checked,"Parametric,BIM",Proprietary Custom Web Geometry Engine,"CAD,AEC,Browser-based","Cloud,On-Prem,Plugin,Web","B2B,Horizontal,Product-led Growth,SaaS,Self-Service,Subscription","Real-time Collaboration,Ease of Use,Fast Concept-to-Manufacturing,Fast Deployment,Workflow Efficiency,AI-native Architecture",Construction,"Architecture,General Contractors",AI-Enabled User Experience,Bleeding Edge BIM (AEC/BIM),AI-Driven Design & Authoring,Startup Raisers,Seed,Seed Stage,2022,$3600000.0,$3600000.0,$2000000.0,$18000000.0,"Browser‑based BIM/design platform positioned as “next‑gen Revit”; several‑million‑scale funding, early‑growth SaaS.","LocalGlobe, Episode 1, Tiny VC, several AEC angels",4.0,AEC tooling is antiquated and ripe for browser-native disruption and Arcol targets a global multi billion dollar market for early stage design workflows,4.2,Small but efficient team shipping fast releases and visible public roadmap momentum,4.3,Real time collaborative design in the browser with high speed geometry positions Arcol apart from heavy desktop incumbents,4.1,Lean team and modest funding used to ship a credible CAD environment and attract early AEC traction,3.4,"User adoption is climbing but still small versus incumbents, product velocity is strong",3.7,If Arcol matures into BIM capable workflows it could influence modern AEC stacks but impact today remains early,3.8,"Arcol’s moat comes from high speed browser modeling, strong UX, and early mover position in lightweight AEC CAD",4.01,Paul O'Carroll*,,checked,"LocalGlobe, Episode 1, Tiny VC, several AEC angels",,63.0,Accelerating,Design Engineering,None,4/4
Mesh AG,https://mesh.ch,"Zürich, Switzerland",Switzerland🇨🇭,2019,18,Undisclosed or unknown,"Robotic rebar fabrication, CAD-to-field digital workflow","Expensive setup, early scaling for global market",AEC/BIM,Manufacture,Ideation & Concept,"Robotic Fabrication, Digital Twin",Digital Fabrication,"IFC, CAD, Revit",,,"Parametric,BIM",Proprietary,"Robotics,Hardware,BIM,Digital Manufacturing,Advanced Manufacturing,Digital Twin","Cloud,Hardware,On-Prem,Plugin","Direct Sales,Enterprise,SaaS,Subscription,Vertical","Digital Thread,Hardware Engineering Focus,Turnkey Deployment,Proprietary AI Models",Construction,General Contractors,Construction & Engineering Technology Enhancement,Bleeding Edge BIM (AEC/BIM),BIM Data & Collaboration Platforms,Startup Raisers,Seed,Seed Stage,2019,$0.0,$2700000.0,$6000000.0,$54000000.0,Swiss/German construction ops / data platform (based on your universe); likely seed/Series A.,"Sika
PERI",4.5,Digital/robotic fabrication is global megatrend,4.0,"Robotics, AEC, software savvy with pilot wins",4.5,"Direct-from-BIM fabrication, few real competitors",3.5,"R&D plus EU pilot capital, modest sales team",3.0,"Early sales/pilots, expanding partnerships",4.0,Radically cuts labor in fabrication,3.5,"Hardware/robotics and software IP, expensive to chase",4.00,Ammar Mirjan,,,"Sika, PERI",,70.0,Early/Pre-revenue,Manufacturing / OT,None,4/4
Qonic,https://www.qonic.com/,"Ghent, Belgium",Belgium 🇧🇪,2021,40,"Brussels Airport Company, Cordeel","Native AI cloud BIM platform with proprietary graphics kernel. Ex-BricsCAD
",Very early market education needed,AEC Design,Design,Ideation & Concept,AEC/BIM,AEC/BIM Management,CAD Adjacent,,,"Generative,Parametric,BIM",N/A,"Generative CAD,BIM,Digital Twin","Cloud,On-Prem","Direct Sales,Enterprise,SaaS,Subscription,Vertical","AI-native Architecture,Patented Technology,Physics-informed AI,Cloud-native Workflow",Construction,Architecture,Construction & Engineering Technology Enhancement,Bleeding Edge BIM (AEC/BIM),BIM Data & Collaboration Platforms,Startup Raisers,Bootstrapped,Bootstrapped,2023,$0.0,$0.0,$0.0,$54000000.0,"BIM/structural modeling automation startup; early‑growth, niche AEC vertical.",European Angels,4.0,AI driven simulation upside large,4.0,Small but technical founding team,4.5,AI physics hybrid approach,4.5,Very capital efficient,3.0,"Qonic was acquired by Nemetschek Group in 2022, signaling strong industry validation; the company has since expanded its digital twin and BIM solutions within Nemetschek’s global portfolio, with ongoing product development and integration updates highlighted in press releases and on LinkedIn (2022–2025), though no explicit ARR or user/customer numbers are published.",3.5,"Qonic has demonstrated notable industry impact in the AEC (Architecture, Engineering, Construction) sector over the past 24 months. The company’s BIM (Building Information Modeling) technology has been highlighted in industry news and case studies, particularly for its ability to streamline design-to-construction workflows. Qonic has announced partnerships with leading firms such as Sweco and VK Architects & Engineers, and its platform has been referenced in press releases and at industry events (e.g., Digital Construction Week). While Qonic has not yet been featured as a sector standard or in major analyst benchmarks, its adoption by prominent European engineering and design firms, as well as recognition in AEC tech media, supports a strong but not dominant industry impact. No major awards or global customer announcements have been cited, indicating solid momentum but not yet widespread sector leadership.",3.5,IP driven technical defensibility,4.00,"Erik de Keyser*
Tjerk Gauderis
Jacob DeSutter*","Great demo, impressive",checked,European Angels,,55.0,Early/Pre-revenue,Design Engineering,None,3/4
Trunk Tools,https://trunktools.com/,"New York, USA",United States 🇺🇸,2021,10,"Suffolk Construction, Gilbane, DPR Construction","Strong product-market fit around construction knowledge and workflow AI, Significant Series B funding, High profile construction customer base","Competes in a rapidly crowding construction AI field, Public revenue not disclosed, Product scope keeps expanding which can create execution complexity",AEC/BIM,Operations,Construction Execution,Construction Knowledge And Workflow AI,Construction Knowledge And Workflow AI,"Cloud, SaaS",,checked,"Parametric,BIM","General Contracting, Commercial Construction","Workflow Automation,AI Platform","Cloud,Web","B2B,Direct Sales,International,SaaS,Subscription,Vertical",Industrial-grade Edge,Construction,"Construction Firms,General Contractors",Construction & Engineering Technology Enhancement,Bleeding Edge BIM (AEC/BIM),Construction Progress & Reality Capture,Scaleup Expanders,Series B,Growth Stage,2025,$40000000.0,$70000000.0,$0.0,$120000000.0,"Public company updates say Trunk Tools raised 40 million dollars Series B in 2025, bringing total funding to 70 million, and public coverage names Suffolk Construction, Gilbane, and DPR as customers","Insight Partners, Redpoint Ventures, Innovation Endeavors, StepStone Group, Liberty Mutual Strategic Ventures, Prudence, Alumni Ventures, Fifth Wall, Foundation Capital",4.5,"Trunk Tools develops AI-powered automation solutions for the construction industry, focusing on streamlining workflows and improving productivity on job sites. The global construction technology market is projected to exceed $29B by 2028, with a CAGR of over 16% (MarketsandMarkets, 2023), driven by increasing adoption of digital tools and automation in construction. Trunk Tools’ focus on automating manual processes positions it within this rapidly growing sector.",4.0,"Trunk Tools’ founder, Saurabh Ladha, is a Stanford alum with prior experience at McKinsey and in construction tech startups. The team includes veterans from Procore, Katerra, and Google, bringing deep construction and AI expertise. Notable investors include Innovation Endeavors and Fifth Wall. The company has announced partnerships with major construction firms and claims rapid adoption of its AI-powered field management tools. Product milestones include the launch of TrunkTools Assistant and reported usage on large-scale projects.",4.0,"Trunk Tools develops AI-powered automation for construction workflows, leveraging proprietary machine learning models to streamline project management and field operations (see Product and Technology pages, 2025). The company claims unique integrations with construction management platforms and has been recognized by BuiltWorlds (2025) as a leading innovator in construction tech automation. No patents are listed publicly, but industry press highlights their differentiated approach to automating complex, manual construction tasks.",3.2,"Trunk Tools has raised a total of $70 million as of July 2025, including a $40 million Series B round led by Insight Partners. The company was founded in 2021 and focuses on AI-powered solutions for the construction industry. No public data on user numbers or ARR was found. Compared to sector norms, this funding amount is typical for high-growth construction tech startups at this stage, but there is no public evidence of notable capital efficiency such as bootstrapping or rapid revenue on low burn as of March 2026.",4.2,"Trunk Tools raised $21M in Series A funding in October 2023 (TechCrunch); the company has launched its AI-powered construction management platform and announced partnerships with major construction firms, with ongoing hiring and product expansion updates visible on LinkedIn and company press releases through 2024.",4.3,"Trunk Tools has demonstrated notable industry impact in construction technology over the past 24 months. The company has been featured in industry news (e.g., Construction Dive, BuiltWorlds) for its AI-powered solutions aimed at automating construction workflows. Trunk Tools has announced partnerships with major general contractors such as Suffolk Construction and Skanska, and its platform has been adopted by several ENR Top 400 contractors, as highlighted in recent case studies on its website. The company was recognized as a finalist in the 2024 BuiltWorlds Mavericks Awards and was included in the 2023 CB Insights Construction Tech 50 list. While Trunk Tools is gaining traction and recognition, it is not yet considered a sector standard, which is reflected in the score of 4.3.",3.4,"Trunk Tools positions itself as a construction-focused AI platform automating project management and field workflows, with proprietary AI models trained on construction-specific data and integrations with major construction software (About, Product pages, trunktools.com, accessed March 2026). While the company highlights its tailored AI and workflow automation, similar construction tech solutions exist, and no explicit claims of unique IP, patents, or exclusive partnerships are documented in public sources. This suggests a moderate moat based on domain focus and integrations rather than defensible technology.",4.00,,,,"Insight Partners, Redpoint Ventures, Innovation Endeavors, StepStone Group, Liberty Mutual Strategic Ventures, Prudence, Alumni Ventures, Fifth Wall, Foundation Capital",,63.0,Accelerating,Operations Executives,None,4/4
PermitFlow,https://www.permitflow.com/,"New York, NY, USA",United States 🇺🇸,2021,160,"Amazon, Apple, IKEA, Lennar, NVR, GAF","Clear category leadership in permitting automation, Strong funding and scale, Broad workflow across preparation submission and tracking","Regulatory workflow is fragmented and municipality specific, Public named customer set is still limited in the sources reviewed, Execution burden rises with rapid scale",AEC/BIM,Operations,Construction Execution,Construction Permitting Automation,Construction Permitting Automation,"Cloud, SaaS",,checked,"Parametric,BIM","Residential Construction, Commercial Construction, Real Estate Development","Construction Tech,Compliance,Workflow Automation","Cloud,Web","B2B,Direct Sales,International,SaaS,Subscription,Vertical",Patented Technology,Construction,Construction Firms,Construction & Engineering Technology Enhancement,Bleeding Edge BIM (AEC/BIM),Construction Progress & Reality Capture,Scaleup Expanders,Series B,Growth Stage,2025,$54000000.0,$91000000.0,$0.0,$500000000.0,"LinkedIn shows PermitFlow founded in 2021 in New York with 51 to 200 employees, YC describes it as construction's AI platform, and public sources say it raised 54 million dollars in Series B in 2025 with total funding of about 91 million dollars","Accel, Kleiner Perkins, Felicis, Initialized Capital, Altos Ventures, Y Combinator",4.5,"PermitFlow provides permitting automation software for the construction industry, targeting the U.S. construction permitting market—a segment of the broader construction technology sector, which is projected to reach $24.4B globally by 2027 with a CAGR of over 16% (MarketsandMarkets, 2023). The company’s focus on streamlining permitting for residential and commercial projects addresses a critical pain point in a multi-billion dollar, highly regulated industry with significant digital transformation potential.",4.3,"PermitFlow was co-founded by Francis Thumpasery (ex-Opendoor, ex-Google) and Michael Gentile (ex-Opendoor, ex-Bridgewater). The team includes alumni from Opendoor, Google, and other proptech/tech firms. Backed by investors like Initialized Capital and Y Combinator. PermitFlow has announced partnerships with major builders and contractors, and has expanded to serve multiple states. Product milestones include the launch of a permitting automation platform and integrations with construction management tools. Notable advisors include proptech and construction industry veterans. Visible growth includes recent funding rounds and customer testimonials from leading construction firms.",3.4,"PermitFlow offers a cloud-based platform that streamlines construction permitting through workflow automation, document management, and integrations with municipal systems (see Product and Technology pages, 2025). The company emphasizes proprietary process automation and data aggregation, but there is no evidence of patented technology or unique algorithms; differentiation appears to be in workflow efficiency and user experience rather than core technical innovation (TechCrunch, March 2025; BuiltWorlds, April 2025).",3.8,"$31M raised as of May 2024, including a $31M Series A led by Kleiner Perkins; PermitFlow has not publicly disclosed user numbers or ARR. The company has focused on expanding its permitting automation platform and geographic reach, but no specific revenue or user milestones have been reported. Sector benchmarks for construction tech startups at Series A typically expect early ARR traction or pilot deployments; PermitFlow’s capital raised is in line with peers, but public data on capital efficiency or rapid revenue growth is limited.",4.1,"PermitFlow raised a $31M Series A in January 2024 (TechCrunch), signaling strong investor confidence; the company has expanded its permit management platform nationally, announced partnerships with major construction firms, and is frequently cited in industry press as a leading construction tech startup, indicating rapid adoption and growth despite no explicit ARR or user numbers disclosed.",4.0,"PermitFlow has demonstrated notable industry impact in the construction permitting sector, reflected by its partnerships with major general contractors (e.g., Suffolk Construction), coverage in outlets like TechCrunch and Construction Dive, and recognition as a Y Combinator-backed company. The platform has been highlighted for streamlining permitting processes and reducing project delays, with case studies showing time and cost savings for clients. However, while adoption is growing and PermitFlow is gaining visibility, it has not yet been established as a sector standard or received major industry awards. Thus, the impact is solid but moderate, justifying a score of 4.2.",3.2,"PermitFlow positions itself as the first end-to-end construction permit application and management platform tailored for builders and developers, leveraging proprietary workflow automation and integrations with municipal systems (About page, Product page, and TechCrunch, May 2023). However, while it claims workflow automation and process expertise, similar digital permitting solutions exist, and there is no public evidence of patented technology or exclusive partnerships as of March 10, 2026.",3.98,,,,"Accel, Kleiner Perkins, Felicis, Initialized Capital, Altos Ventures, Y Combinator",,63.0,Accelerating,Operations Executives,None,4/4
