Name;Company URL;Technology Independence Score;Ecosystem Dependencies;Growth Momentum Tier;Buyer Persona
CadAICo;https://cadai.co;53;Dassault;Early/Pre-revenue;Design Engineering
F4 Industries;https://f4.dev;48;None;Early/Pre-revenue;Manufacturing / OT
Poelis;https://www.poelis.com;39;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
Sana (acquired by Workday in 2025);https://www.sanalabs.com;40;None;Early/Pre-revenue;Educators
Raven;https://raven.ai;55;None;Accelerating;Manufacturing / OT
Circuit Mind;https://www.circuitmind.io/;39;Autodesk, Dassault, PTC, Siemens;Accelerating;Design Engineering
TimeSeer;https://www.timeseer.ai/;65;None;Early/Pre-revenue;Manufacturing / OT
Hontrel;https://hontrel.com;53;Autodesk;Early/Pre-revenue;Supply Chain / Logistics
Omnae;https://omnae.com;55;None;Early/Pre-revenue;Supply Chain / Logistics
Rapid Liquid Print;https://www.rapidliquidprint.com;55;None;Accelerating;Manufacturing / OT
Five Flute;https://www.fiveflute.com/;53;Dassault;Steady;Design Engineering
Vendra;https://vendraai.com;63;None;Early/Pre-revenue;Educators
DivergenceAI;https://www.divergenceai.xyz;48;None;Early/Pre-revenue;Simulation Teams
Slip Robotics;https://www.sliprobotics.com;55;None;High Growth;Manufacturing / OT
AI MakerSpace;https://www.aimakerspace.io;63;None;Accelerating;Educators
VNTANA;https://www.vntana.com/;35;Dassault;High Growth;Manufacturing / OT
Spectral Labs;https://spectrallabs.ai;65;None;Early/Pre-revenue;R&D Leadership
Gecko Robotics;https://www.geckorobotics.com;55;None;Accelerating;Quality / Inspection
Aquant;https://www.aquant.ai/;55;None;Accelerating;Operations Executives
Elodin;https://www.elodin.systems/;43;Dassault, PTC, Siemens;Early/Pre-revenue;Simulation Teams
TETMET;https://tetmet.net;48;None;Early/Pre-revenue;Manufacturing / OT
Flux;https://www.flux.ai;39;Autodesk, Dassault, PTC, Siemens;Accelerating;Design Engineering
Agility Robotics;https://www.agilityrobotics.com;55;None;Accelerating;Manufacturing / OT
Realis Simulation;https://realis-simulation.com;57;None;Accelerating;Simulation Teams
Almond;https://almond.bot;47;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
Bananaz;https://www.bananaz.ai/;51;Autodesk, Dassault;Accelerating;Design Engineering
Eigen Innovations;https://eigen.io;55;None;Early/Pre-revenue;Quality / Inspection
aucobo;https://www.aucobo.de/;55;None;Early/Pre-revenue;Manufacturing / OT
Atomic Industries;https://www.atomic.industries/;55;None;Accelerating;Manufacturing / OT
Medra;https://www.medra.ai/;55;None;Accelerating;R&D Leadership
NarrativeWave;https://www.narrativewave.com/;55;None;Steady;Manufacturing / OT
Novineer;https://novineer.com/;55;None;Early/Pre-revenue;Design Engineering
Symbio Robotics (bankruptcy in 2024);https://www.symb.ai;55;None;Early/Pre-revenue;Manufacturing / OT
Twindustrial GmbH;https://twindustrial.de/en/;55;None;Early/Pre-revenue;Manufacturing / OT
nTop;https://ntop.com;31;Autodesk, Dassault, PTC, Siemens;Steady;Design Engineering
Drafted;https://drafted.ai;63;None;Early/Pre-revenue;Design Engineering
Aris Machina;https://www.arismachina.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Benneker Partners;;50;None;Stalled;Manufacturing / OT
LightTable;https://www.lighttable.ai/;63;None;Early/Pre-revenue;Design Engineering
Infinitive (formerly CAE Tech);https://cae.tech/;55;None;Early/Pre-revenue;Simulation Teams
Mecado;https://www.mecado.ai;57;Dassault, Siemens;Early/Pre-revenue;Simulation Teams
Physical Intelligence;https://www.physicalintelligence.company/;55;None;Accelerating;Manufacturing / OT
Labster;https://www.labster.com;34;Autodesk, Dassault, PTC, Siemens;High Growth;Educators
APERIO;https://aperio.ai/;55;None;Early/Pre-revenue;Operations Executives
InterBolt;https://interbolt.co.uk/;55;None;Early/Pre-revenue;Operations Executives
Voxel Labs;https://www.voxelai.com;55;None;High Growth;Operations Executives
CADEXSOFT;https://cadexsoft.com/;49;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
Parspec;https://www.parspec.io/;63;None;Accelerating;Design Engineering
Trunk Tools;https://trunktools.com/;63;None;Accelerating;Operations Executives
Silsync;https://www.silsync.com/;55;None;Early/Pre-revenue;Design Engineering
Matterize;https://www.matterize.ai;55;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
LatticeRobot;https://latticerobot.com/;65;None;Early/Pre-revenue;Simulation Teams
Sensei;https://senseirobotics.com;55;None;Early/Pre-revenue;Manufacturing / OT
Reconstruct;https://reconstructinc.com;40;None;Accelerating;Design Engineering
Uptool;https://www.uptool.com/;65;None;Early/Pre-revenue;Manufacturing / OT
Enzyme APD;https://enzymeapd.com;55;None;Early/Pre-revenue;Design Engineering
JasperX;https://www.jasperx.com.au/;55;None;Early/Pre-revenue;Manufacturing / OT
Axial3D;https://axial3d.com/;63;None;Accelerating;Manufacturing / OT
Forge Automation;https://forgeautomation.ca/;47;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
Citrine Informatics;https://citrine.io/;55;None;Accelerating;Manufacturing / OT
Zephyra;https://zephyra.tech;39;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Manufacturing / OT
Boost Robotics;https://www.boostrobotics.ai;63;None;Early/Pre-revenue;Quality / Inspection
